University,MTCU SMA URL,Intuitional SMA URL,CUDO Link,Annual Report 2017-18
Algoma University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-algoma-university,https://www.algomau.ca/wp-content/uploads/2019/01/Strategic-Mandate-Agreement.pdf,https://www.algomau.ca/about/common-university-data-ontario-cudo/,https://www.algomau.ca/public-disclosure-documents/
Brock University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-brock-university,https://brocku.ca/vp-academic/wp-content/uploads/sites/65/Brock-University-SMA-Signed-Final-Feb-7.pdf,https://brocku.ca/institutional-analysis/ministry-reporting/common-university-data-ontario/,https://brocku.ca/vp-academic/wp-content/uploads/sites/65/Brock-U-SMA2-Annual-Report-2017-18-FINAL.pdf
Carleton University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-carleton-university,https://carleton.ca/president/wp-content/uploads/Carleton-University-SMA-2017.pdf,http://oirp.carleton.ca/cudo/,https://carleton.ca/about/wp-content/uploads/Carleton-2017-18-SMA2-AnnualReport.pdf
Lakehead University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-lakehead-university,https://www.lakeheadu.ca/sites/default/files/uploads/108/Lakehead%20SMA%202%20-%20Signed.pdf,https://www.lakeheadu.ca/faculty-and-staff/ppm/accountability/cudo/,https://www.lakeheadu.ca/sites/default/files/uploads/108/Lakehead%20University%20-%20SMA%20Annual%20Report%202017-18%20FINAL.pdf
Laurentian University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-laurentian-university,https://laurentian.ca/planning/strategic-mandate-agreement,https://laurentian.ca/facts-figures,https://laurentian.ca/assets/files/About%20LUL/SMA%20Report-Back/2017-2018-SMA-Annual-Report.pdf
McMaster University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-mcmaster-university,https://president.mcmaster.ca/wp-content/uploads/2018/01/SMA_SIGNED_PublicVersion_Oct17.pdf,https://ira.mcmaster.ca/common-university-data-ontario-cudo/,https://www.mcmaster.ca/vpacademic/documents/SMA2_Annual_Report_2017-18_FINAL.pdf
Nipissing University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-nipissing-university,https://www.nipissingu.ca/sites/default/files/Nipissing%20University%20Strategic%20Mandate%20Agreement%202017-2020.pdf,https://www.nipissingu.ca/departments/institutional-planning/common-universities-data-ontario,https://www.nipissingu.ca/sites/default/files/2019-04/Nipissing-University_SMA-Annual-Report_2017-18.pdf
OCADu,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-ontario-college-art-and-design-ocad-university,https://www.ocadu.ca/Assets/content/accountability/OCAD+University+Strategic+Mandate+Agreement+2017-2020.pdf,https://www.ocadu.ca/about/accountability.htm,https://www.ocadu.ca/Assets/documents/OCAD+University+Strategic+Mandate+Agreement+Report+Back+2017-18.pdf
Queen's University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-queens-university,https://www.queensu.ca/sites/default/files/assets/pages/strategicframework/Queens-University-SMA.pdf,https://www.queensu.ca/planningandbudget/cudo,https://www.queensu.ca/planningandbudget/sites/webpublish.queensu.ca.pbwww/files/files/IRP/Strategic%20Mandate%20Agreement%20Report-Back%202017-18.pdf
Ryerson University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-ryerson-university,https://www.ryerson.ca/content/dam/about/accountability/documents/RU-SMA-2017-2020.pdf,https://www.ryerson.ca/about/data/,https://www.ryerson.ca/content/dam/about/accountability/documents/RU-SMA-Report-2017-18.pdf
Trent University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-trent-university,https://www.trentu.ca/president/sites/trentu.ca.president/files/documents/Trent%20University%20SMA%20Final%20WEB.docx,https://www.trentu.ca/oipa/cudo,https://www.trentu.ca/oipa/sites/trentu.ca.oipa/files/documents/SMAReportBack2017_2018.pdf
Université de Hearst,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-universite-de-hearst,http://www.uhearst.ca/sites/default/files/downloads/hearst_ems_finale_fr.pdf,http://www.uhearst.ca/rapports-publics,http://www.uhearst.ca/sites/default/files/downloads/hearst_-_ems_rapport_annuel_2017-18_final.pdf
University of Guelph,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-university-guelph,https://www.uoguelph.ca/vpacademic/documents/University-of-Guelph-SMA-for-Publication.pdf,https://www.uoguelph.ca/iar/data-statistics/common-university-data-ontario,https://www.uoguelph.ca/iar/system/files/Guelph%20-%20SMA%20Annual%20Report%202017-18%20FINAL.pdf
University of Ontario Institute of Technology/Ontario Technical University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-university-ontario-institute-technology-uoit,https://shared.uoit.ca/shared/department/opp/Governance/Academic-Council/20180116/7b-integrated-academic-plan.pdf,https://ontariotechu.ca/sites/oira/accountability/cudo/,https://shared.uoit.ca/shared/department/oira/documents/surveys%20and%20reports/uoit-sma-report-back-final-2017-2018.pdf
University of Ottawa,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-university-ottawa,https://www.uottawa.ca/institutional-research-planning/sites/www.uottawa.ca.institutional-research-planning/files/university_of_ottawa_sma_-_en.pdf,https://www.uottawa.ca/institutional-research-planning/resources/facts-figures/cudo,https://www.uottawa.ca/institutional-research-planning/sites/www.uottawa.ca.institutional-research-planning/files/ottawa_-_sma_annual_report_2017-18_final.pdf
University of Toronto,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-university-toronto,https://www.utoronto.ca/sites/default/files/University%20of%20Toronto%20SMA%202017-20%20%28for%20publication%29.pdf,https://data.utoronto.ca/reports/cou/,https://www.utoronto.ca/sites/default/files/Toronto%20-%20SMA%20Annual%20Report%202017-18%20FINAL.pdf
University of Waterloo,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-university-waterloo,https://uwaterloo.ca/institutional-analysis-planning/sites/ca.institutional-analysis-planning/files/uploads/files/accessible_sma2_final_signed_2018.pdf,https://uwaterloo.ca/institutional-analysis-planning/university-data-and-statistics/common-university-data-ontario-cudo-0,https://uwaterloo.ca/institutional-analysis-planning/sites/ca.institutional-analysis-planning/files/uploads/files/waterloo_sma_annual_report_2017-18_final.pdf
University of Windsor,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-university-windsor,https://www.uwindsor.ca/president/sites/uwindsor.ca.president/files/uwindsor_sma_2017-2020.pdf,http://www.uwindsor.ca/common-university-data-ontario/,https://www.uwindsor.ca/president/sites/uwindsor.ca.president/files/windsor_-_sma_annual_report_2017-18_final.pdf
Western University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-western-university,https://provost.uwo.ca/provost/Western-SMA2-Final-2017.pdf,http://www.ipb.uwo.ca/cudo.php,https://www.ipb.uwo.ca/documents/2017-18_sma2_annual_report.pdf
Wilfrid Laurier University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-wilfrid-laurier-university,https://www.wlu.ca/about/assets/resources/strategic-mandate-agreement.html,https://www.wlu.ca/about/public-accountability/cudo.html,https://www.wlu.ca/about/public-accountability/assets/documents/strategic-mandate-agreement-report-back-2017-2018
York University,https://www.ontario.ca/page/2017-20-strategic-mandate-agreement-york-university,http://oipa.info.yorku.ca/files/2014/04/York-University-SMA-Final-November-22-2017-Published.pdf,http://cudo.info.yorku.ca/,https://vpap.info.yorku.ca/reports/
