University,2019–20 midpoint (A),2018-19 Funded Graduate Growth (Master’s) (B),2018-19 Funded Graduate Growth (Doctoral) (C),2018-19 Teacher Education Growth (D),2020-25 SMA3 Midpoint (A+B+C+D),Updated
Algoma University,"1,525.00",0.00,0.00,0.00,1525,"Friday November 27, 2020"
Brock University,"29,118.94",637.44,0.00,0.00,29118.94,"Friday November 27, 2020"
Carleton University,"53,273.31",117.65,450.95,0.00,53841.91,"Friday November 27, 2020"
Lakehead University,"15,558.32",7.38,0.00,122.54,15688.24,"Friday November 27, 2020"
Laurentian University,16034.89,303.05,85.58,0,16423.53,"Friday November 27, 2020"
McMaster University,"74,245.29",617.27,799.67,0.00,75662.24,"Saturday November 28, 2020"
Nipissing University,"7,874.74",0.00,0.00,235.83,8110.57,"Saturday November 28, 2020"
OCADu,"6,686.88",102.88,0.00,0.00,6789.76,"Saturday November 28, 2020"
Queen's University,"60,785.03","1,333.31",771.80,0.00,62890.13,"Saturday November 28, 2020"
Ryerson University,"79,515.21",479.59,408.02,0.00,80402.82,"Saturday November 28, 2020"
Trent University,"14,861.54",194.33,25.55,0.00,15081.42,"Saturday November 28, 2020"
Université de Hearst,146.23,0.00,0.00,0.00,146.23,"Saturday November 28, 2020"
University of Guelph,"64,831.94",410.01,442.04,0.00,65683.98,"Saturday November 28, 2020"
University of Ottawa,"85,653.24",30.30,379.31,18.26,86081.12,"Saturday November 28, 2020"
University of Toronto,"199,074.17","3,288.41","1,747.73",0.00,204110.31,"Saturday November 28, 2020"
University of Waterloo,"77,551.10",754.68,808.70,0.00,79114.47,"Saturday November 28, 2020"
University of Windsor,"26,542.33",316.57,0.00,187.34,27046.24,"Saturday November 28, 2020"
OTU (UOIT),"17,845.72",335.11,142.36,0.00,18323.18,"Saturday November 28, 2020"
Western University,"93,034.56","1,325.35","1,149.77",0.00,95509.68,"Saturday November 28, 2020"
Wilfrid Laurier University,"32,993.31",511.26,137.51,0.00,33642.08,"Saturday November 28, 2020"
York University,"83,789.41",0.00,"1,185.90",0.00,84975.31,"Saturday November 28, 2020"