University,2020-21 ,2021-22,2022-23,2023-24,2024-25,Updated
Algoma University," $2,602,209 "," $3,114,746 "," $3,114,746 "," $4,139,851 "," $4,396,127 ","Friday November 27, 2020"
Brock University," $19,082,011 "," $28,868,594 "," $38,655,469 "," $48,442,343 "," $53,335,781 ","Friday November 27, 2020"
Carleton University," $42,622,706 "," $60,718,435 "," $78,587,318 "," $96,051,167 "," $104,783,09 ","Friday November 27, 2020"
Lakehead University," $10,630,171 "," $15,902,832 "," $21,175,650 "," $26,448,468 "," $29,084,877 ","Friday November 27, 2020"
Laurentian University," $16,213,262 "," $21,733,046 "," $27,252,994 "," $32,772,942 "," $35,532,916 ","Friday November 27, 2020"
McMaster University," $62,581,612 "," $87,614,257 "," $112,646,901 "," $137,679,546 "," $150,195,869 ","Saturday November 28, 2020"
Nipissing University," $8,563,380 "," $11,630,093 "," $14,356,056 "," $17,082,019 "," $18,445,001 ","Saturday November 28, 2020"
OCADu," $6,310,246 "," $8,834,345 "," $11,358,443 "," $13,882,542 "," $15,144,591 ","Saturday November 28, 2020"
Queen's University," $51,855,134 "," $72,597,187 "," $93,339,240 "," $114,081,294 "," $124,452,320 ","Saturday November 28, 2020"
Ryerson University," $57,715,800 "," $84,738,382 "," $111,761,769 "," $138,785,155 "," $151,795,328 ","Saturday November 28, 2020"
Trent University," $13,131,979 "," $18,384,770 "," $23,637,562 "," $28,890,354 "," $31,516,749 ","Saturday November 28, 2020"
Université de Hearst," $648,973 "," $698,120 "," $747,268 "," $796,415 "," $820,989 ","Saturday November 28, 2020"
University of Guelph," $50,312,477 "," $72,388,208 "," $94,464,595 "," $116,540,981 "," $127,579,175 ","Saturday November 28, 2020"
University of Ottawa," $67,831,665 "," $96,762,667 "," $125,694,530 "," $154,626,393 "," $169,092,324 ","Saturday November 28, 2020"
University of Toronto," $168,126,475 "," $235,377,065 "," $302,627,655 "," $369,878,245 "," $403,503,540 ","Saturday November 28, 2020"
University of Waterloo," $62,800,023 "," $87,920,032 "," $113,040,041 "," $138,160,050 "," $150,720,054 ","Saturday November 28, 2020"
University of Windsor," $23,566,925 "," $32,993,695 "," $42,420,464 "," $51,847,234 "," $56,560,619 ","Saturday November 28, 2020"
OTU (UOIT)," $12,891,123 "," $19,049,362 "," $25,207,784 "," $31,366,206 "," $34,445,417 ","Saturday November 28, 2020"
Western University," $74,545,387 "," $106,463,027 "," $136,881,035 "," $167,299,043 "," $182,508,047 ","Saturday November 28, 2020"
Wilfrid Laurier University," $24,206,599 "," $35,513,365 "," $46,820,468 "," $58,101,402 "," $63,383,347 ","Saturday November 28, 2020"
York University," $73,845,754 "," $103,384,056 "," $132,922,358 "," $162,460,659 "," $177,229,810 ","Saturday November 28, 2020"