College,Metric,Year,Percent,Funding Allocation
Algonquin College,01. Graduate employment rate in a related field,2020–21,10%,"$2,778,755.00"
Algonquin College,02. Institutiol strength and focus,2020–21,35%,"$9,725,641.00"
Algonquin College,03. Graduation rate,2020–21,10%,"$2,778,755.00"
Algonquin College,04. Community and local impact of student enrolment,2020–21,35%,"$9,725,641.00"
Algonquin College,05. Economic impact (institution-specific),2020–21,10%,"$2,778,755.00"
Algonquin College,06. Graduate employment earnings,2020–21,,
Algonquin College,07. Experiential learning,2020–21,,
Algonquin College,08. Revenue attracted from private sector sources,2020–21,,
Algonquin College,09. Apprenticeship-related (institution-specific),2020–21,,
Algonquin College,10. Skills and competencies,2020–21,,
Algonquin College,01. Graduate employment rate in a related field,2021-22,5%,"$1,945,128.00"
Algonquin College,02. Institutiol strength and focus,2021-22,20%,"$7,780,513.00"
Algonquin College,03. Graduation rate,2021-22,15%,"$5,835,385.00"
Algonquin College,04. Community and local impact of student enrolment,2021-22,20%,"$7,780,513.00"
Algonquin College,05. Economic impact (institution-specific),2021-22,20%,"$7,780,513.00"
Algonquin College,06. Graduate employment earnings,2021-22,5%,"$1,945,128.00"
Algonquin College,07. Experiential learning,2021-22,10%,"$3,890,257.00"
Algonquin College,08. Revenue attracted from private sector sources,2021-22,5%,"$1,945,128.00"
Algonquin College,09. Apprenticeship-related (institution-specific),2021-22,,
Algonquin College,10. Skills and competencies,2021-22,,
Algonquin College,01. Graduate employment rate in a related field,2022-23,5%,"$2,500,879.00"
Algonquin College,02. Institutiol strength and focus,2022-23,15%,"$7,502,638.00"
Algonquin College,03. Graduation rate,2022-23,10%,"$5,001,758.00"
Algonquin College,04. Community and local impact of student enrolment,2022-23,15%,"$7,502,638.00"
Algonquin College,05. Economic impact (institution-specific),2022-23,15%,"$7,502,638.00"
Algonquin College,06. Graduate employment earnings,2022-23,5%,"$2,500,879.00"
Algonquin College,07. Experiential learning,2022-23,15%,"$7,502,638.00"
Algonquin College,08. Revenue attracted from private sector sources,2022-23,5%,"$2,500,879.00"
Algonquin College,09. Apprenticeship-related (institution-specific),2022-23,10%,"$5,001,758.00"
Algonquin College,10. Skills and competencies,2022-23,5%,"$2,500,879.00"
Algonquin College,01. Graduate employment rate in a related field,2023-24,5%,"$3,056,630.00"
Algonquin College,02. Institutiol strength and focus,2023-24,15%,"$9,169,890.00"
Algonquin College,03. Graduation rate,2023-24,10%,"$6,113,260.00"
Algonquin College,04. Community and local impact of student enrolment,2023-24,15%,"$9,169,890.00"
Algonquin College,05. Economic impact (institution-specific),2023-24,15%,"$9,169,890.00"
Algonquin College,06. Graduate employment earnings,2023-24,5%,"$3,056,630.00"
Algonquin College,07. Experiential learning,2023-24,15%,"$9,169,890.00"
Algonquin College,08. Revenue attracted from private sector sources,2023-24,5%,"$3,056,630.00"
Algonquin College,09. Apprenticeship-related (institution-specific),2023-24,10%,"$6,113,260.00"
Algonquin College,10. Skills and competencies,2023-24,5%,"$3,056,630.00"
Algonquin College,01. Graduate employment rate in a related field,2024-25,5%,"$3,334,506.00"
Algonquin College,02. Institutiol strength and focus,2024-25,15%,"$10,003,517.00"
Algonquin College,03. Graduation rate,2024-25,10%,"$6,669,011.00"
Algonquin College,04. Community and local impact of student enrolment,2024-25,15%,"$10,003,517.00"
Algonquin College,05. Economic impact (institution-specific),2024-25,15%,"$10,003,517.00"
Algonquin College,06. Graduate employment earnings,2024-25,5%,"$3,334,506.00"
Algonquin College,07. Experiential learning,2024-25,15%,"$10,003,517.00"
Algonquin College,08. Revenue attracted from private sector sources,2024-25,5%,"$3,334,506.00"
Algonquin College,09. Apprenticeship-related (institution-specific),2024-25,10%,"$6,669,011.00"
Algonquin College,10. Skills and competencies,2024-25,5%,"$3,334,506.00"
Cambrian College,01. Graduate employment rate in a related field,2020–21,10%,"$634,460.00"
Cambrian College,02. Institutiol strength and focus,2020–21,25%,"$1,586,149.00"
Cambrian College,03. Graduation rate,2020–21,15%,"$951,689.00"
Cambrian College,04. Community and local impact of student enrolment,2020–21,25%,"$1,586,149.00"
Cambrian College,05. Economic impact (institution-specific),2020–21,25%,"$1,586,149.00"
Cambrian College,06. Graduate employment earnings,2020–21,,
Cambrian College,07. Experiential learning,2020–21,,
Cambrian College,08. Revenue attracted from private sector sources,2020–21,,
Cambrian College,09. Apprenticeship-related (institution-specific),2020–21,,
Cambrian College,10. Skills and competencies,2020–21,,
Cambrian College,01. Graduate employment rate in a related field,2021-22,10%,"$875,793.00"
Cambrian College,02. Institutiol strength and focus,2021-22,20%,"$1,751,587.00"
Cambrian College,03. Graduation rate,2021-22,10%,"$875,793.00"
Cambrian College,04. Community and local impact of student enrolment,2021-22,15%,"$1,313,690.00"
Cambrian College,05. Economic impact (institution-specific),2021-22,20%,"$1,751,587.00"
Cambrian College,06. Graduate employment earnings,2021-22,5%,"$437,897.00"
Cambrian College,07. Experiential learning,2021-22,10%,"$875,793.00"
Cambrian College,08. Revenue attracted from private sector sources,2021-22,10%,"$875,793.00"
Cambrian College,09. Apprenticeship-related (institution-specific),2021-22,,
Cambrian College,10. Skills and competencies,2021-22,,
Cambrian College,01. Graduate employment rate in a related field,2022-23,10%,"$1,117,127.00"
Cambrian College,02. Institutiol strength and focus,2022-23,15%,"$1,675,691.00"
Cambrian College,03. Graduation rate,2022-23,10%,"$1,117,127.00"
Cambrian College,04. Community and local impact of student enrolment,2022-23,10%,"$1,117,127.00"
Cambrian College,05. Economic impact (institution-specific),2022-23,15%,"$1,675,691.00"
Cambrian College,06. Graduate employment earnings,2022-23,5%,"$558,564.00"
Cambrian College,07. Experiential learning,2022-23,10%,"$1,117,127.00"
Cambrian College,08. Revenue attracted from private sector sources,2022-23,10%,"$1,117,127.00"
Cambrian College,09. Apprenticeship-related (institution-specific),2022-23,10%,"$1,117,127.00"
Cambrian College,10. Skills and competencies,2022-23,5%,"$558,564.00"
Cambrian College,01. Graduate employment rate in a related field,2023-24,10%,"$1,358,461.00"
Cambrian College,02. Institutiol strength and focus,2023-24,15%,"$2,037,692.00"
Cambrian College,03. Graduation rate,2023-24,10%,"$1,358,461.00"
Cambrian College,04. Community and local impact of student enrolment,2023-24,10%,"$1,358,461.00"
Cambrian College,05. Economic impact (institution-specific),2023-24,15%,"$2,037,692.00"
Cambrian College,06. Graduate employment earnings,2023-24,5%,"$679,231.00"
Cambrian College,07. Experiential learning,2023-24,10%,"$1,358,461.00"
Cambrian College,08. Revenue attracted from private sector sources,2023-24,10%,"$1,358,461.00"
Cambrian College,09. Apprenticeship-related (institution-specific),2023-24,10%,"$1,358,461.00"
Cambrian College,10. Skills and competencies,2023-24,5%,"$679,231.00"
Cambrian College,01. Graduate employment rate in a related field,2024-25,10%,"$1,479,128.00"
Cambrian College,02. Institutiol strength and focus,2024-25,15%,"$2,218,692.00"
Cambrian College,03. Graduation rate,2024-25,10%,"$1,479,128.00"
Cambrian College,04. Community and local impact of student enrolment,2024-25,10%,"$1,479,128.00"
Cambrian College,05. Economic impact (institution-specific),2024-25,15%,"$2,218,692.00"
Cambrian College,06. Graduate employment earnings,2024-25,5%,"$739,564.00"
Cambrian College,07. Experiential learning,2024-25,10%,"$1,479,128.00"
Cambrian College,08. Revenue attracted from private sector sources,2024-25,10%,"$1,479,128.00"
Cambrian College,09. Apprenticeship-related (institution-specific),2024-25,10%,"$1,479,128.00"
Cambrian College,10. Skills and competencies,2024-25,5%,"$739,564.00"
Cadore College,01. Graduate employment rate in a related field,2020–21,10%,"$441,208.00"
Cadore College,02. Institutiol strength and focus,2020–21,30%,"$1,323,623.00"
Cadore College,03. Graduation rate,2020–21,20%,"$882,416.00"
Cadore College,04. Community and local impact of student enrolment,2020–21,20%,"$882,416.00"
Cadore College,05. Economic impact (institution-specific),2020–21,20%,"$882,416.00"
Cadore College,06. Graduate employment earnings,2020–21,,
Cadore College,07. Experiential learning,2020–21,,
Cadore College,08. Revenue attracted from private sector sources,2020–21,,
Cadore College,09. Apprenticeship-related (institution-specific),2020–21,,
Cadore College,10. Skills and competencies,2020–21,,
Cadore College,01. Graduate employment rate in a related field,2021-22,5%,"$306,966.00"
Cadore College,02. Institutiol strength and focus,2021-22,25%,"$1,534,830.00"
Cadore College,03. Graduation rate,2021-22,15%,"$920,898.00"
Cadore College,04. Community and local impact of student enrolment,2021-22,15%,"$920,898.00"
Cadore College,05. Economic impact (institution-specific),2021-22,10%,"$613,932.00"
Cadore College,06. Graduate employment earnings,2021-22,5%,"$306,966.00"
Cadore College,07. Experiential learning,2021-22,10%,"$613,932.00"
Cadore College,08. Revenue attracted from private sector sources,2021-22,15%,"$920,898.00"
Cadore College,09. Apprenticeship-related (institution-specific),2021-22,,
Cadore College,10. Skills and competencies,2021-22,,
Cadore College,01. Graduate employment rate in a related field,2022-23,5%,"$393,328.00"
Cadore College,02. Institutiol strength and focus,2022-23,15%,"$1,179,984.00"
Cadore College,03. Graduation rate,2022-23,15%,"$1,179,984.00"
Cadore College,04. Community and local impact of student enrolment,2022-23,10%,"$786,656.00"
Cadore College,05. Economic impact (institution-specific),2022-23,10%,"$786,656.00"
Cadore College,06. Graduate employment earnings,2022-23,5%,"$393,328.00"
Cadore College,07. Experiential learning,2022-23,10%,"$786,656.00"
Cadore College,08. Revenue attracted from private sector sources,2022-23,10%,"$786,656.00"
Cadore College,09. Apprenticeship-related (institution-specific),2022-23,15%,"$1,179,984.00"
Cadore College,10. Skills and competencies,2022-23,5%,"$393,328.00"
Cadore College,01. Graduate employment rate in a related field,2023-24,5%,"$479,690.00"
Cadore College,02. Institutiol strength and focus,2023-24,15%,"$1,439,071.00"
Cadore College,03. Graduation rate,2023-24,15%,"$1,439,071.00"
Cadore College,04. Community and local impact of student enrolment,2023-24,10%,"$959,381.00"
Cadore College,05. Economic impact (institution-specific),2023-24,10%,"$959,381.00"
Cadore College,06. Graduate employment earnings,2023-24,5%,"$479,690.00"
Cadore College,07. Experiential learning,2023-24,10%,"$959,381.00"
Cadore College,08. Revenue attracted from private sector sources,2023-24,10%,"$959,381.00"
Cadore College,09. Apprenticeship-related (institution-specific),2023-24,15%,"$1,439,071.00"
Cadore College,10. Skills and competencies,2023-24,5%,"$479,690.00"
Cadore College,01. Graduate employment rate in a related field,2024-25,5%,"$522,871.00"
Cadore College,02. Institutiol strength and focus,2024-25,15%,"$1,568,614.00"
Cadore College,03. Graduation rate,2024-25,15%,"$1,568,614.00"
Cadore College,04. Community and local impact of student enrolment,2024-25,10%,"$1,045,743.00"
Cadore College,05. Economic impact (institution-specific),2024-25,10%,"$1,045,743.00"
Cadore College,06. Graduate employment earnings,2024-25,5%,"$522,871.00"
Cadore College,07. Experiential learning,2024-25,10%,"$1,045,743.00"
Cadore College,08. Revenue attracted from private sector sources,2024-25,10%,"$1,045,743.00"
Cadore College,09. Apprenticeship-related (institution-specific),2024-25,15%,"$1,568,614.00"
Cadore College,10. Skills and competencies,2024-25,5%,"$522,871.00"
Centennial College,01. Graduate employment rate in a related field,2020–21,10%,"$1,342,822.00"
Centennial College,02. Institutiol strength and focus,2020–21,13%,"$1,678,527.00"
Centennial College,03. Graduation rate,2020–21,23%,"$3,021,349.00"
Centennial College,04. Community and local impact of student enrolment,2020–21,25%,"$3,357,054.00"
Centennial College,05. Economic impact (institution-specific),2020–21,30%,"$4,028,465.00"
Centennial College,06. Graduate employment earnings,2020–21,,
Centennial College,07. Experiential learning,2020–21,,
Centennial College,08. Revenue attracted from private sector sources,2020–21,,
Centennial College,09. Apprenticeship-related (institution-specific),2020–21,,
Centennial College,10. Skills and competencies,2020–21,,
Centennial College,01. Graduate employment rate in a related field,2021-22,5%,"$939,975.00"
Centennial College,02. Institutiol strength and focus,2021-22,10%,"$1,879,950.00"
Centennial College,03. Graduation rate,2021-22,23%,"$4,229,888.00"
Centennial College,04. Community and local impact of student enrolment,2021-22,25%,"$4,699,876.00"
Centennial College,05. Economic impact (institution-specific),2021-22,23%,"$4,229,888.00"
Centennial College,06. Graduate employment earnings,2021-22,5%,"$939,975.00"
Centennial College,07. Experiential learning,2021-22,5%,"$939,975.00"
Centennial College,08. Revenue attracted from private sector sources,2021-22,5%,"$939,975.00"
Centennial College,09. Apprenticeship-related (institution-specific),2021-22,,
Centennial College,10. Skills and competencies,2021-22,,
Centennial College,01. Graduate employment rate in a related field,2022-23,5%,"$1,208,540.00"
Centennial College,02. Institutiol strength and focus,2022-23,8%,"$1,812,809.00"
Centennial College,03. Graduation rate,2022-23,20%,"$4,834,158.00"
Centennial College,04. Community and local impact of student enrolment,2022-23,20%,"$4,834,158.00"
Centennial College,05. Economic impact (institution-specific),2022-23,18%,"$4,229,888.00"
Centennial College,06. Graduate employment earnings,2022-23,5%,"$1,208,540.00"
Centennial College,07. Experiential learning,2022-23,8%,"$1,812,809.00"
Centennial College,08. Revenue attracted from private sector sources,2022-23,5%,"$1,208,540.00"
Centennial College,09. Apprenticeship-related (institution-specific),2022-23,8%,"$1,812,809.00"
Centennial College,10. Skills and competencies,2022-23,5%,"$1,208,540.00"
Centennial College,01. Graduate employment rate in a related field,2023-24,5%,"$1,477,104.00"
Centennial College,02. Institutiol strength and focus,2023-24,8%,"$2,215,656.00"
Centennial College,03. Graduation rate,2023-24,20%,"$5,908,416.00"
Centennial College,04. Community and local impact of student enrolment,2023-24,20%,"$5,908,416.00"
Centennial College,05. Economic impact (institution-specific),2023-24,18%,"$5,169,864.00"
Centennial College,06. Graduate employment earnings,2023-24,5%,"$1,477,104.00"
Centennial College,07. Experiential learning,2023-24,8%,"$2,215,656.00"
Centennial College,08. Revenue attracted from private sector sources,2023-24,5%,"$1,477,104.00"
Centennial College,09. Apprenticeship-related (institution-specific),2023-24,8%,"$2,215,656.00"
Centennial College,10. Skills and competencies,2023-24,5%,"$1,477,104.00"
Centennial College,01. Graduate employment rate in a related field,2024-25,5%,"$1,611,386.00"
Centennial College,02. Institutiol strength and focus,2024-25,8%,"$2,417,079.00"
Centennial College,03. Graduation rate,2024-25,20%,"$6,445,544.00"
Centennial College,04. Community and local impact of student enrolment,2024-25,20%,"$6,445,544.00"
Centennial College,05. Economic impact (institution-specific),2024-25,18%,"$5,639,851.00"
Centennial College,06. Graduate employment earnings,2024-25,5%,"$1,611,386.00"
Centennial College,07. Experiential learning,2024-25,8%,"$2,417,079.00"
Centennial College,08. Revenue attracted from private sector sources,2024-25,5%,"$1,611,386.00"
Centennial College,09. Apprenticeship-related (institution-specific),2024-25,8%,"$2,417,079.00"
Centennial College,10. Skills and competencies,2024-25,5%,"$1,611,386.00"
Collège Boréal,01. Graduate employment rate in a related field,2020–21,10%,"$270,783.00"
Collège Boréal,02. Institutiol strength and focus,2020–21,35%,"$947,742.00"
Collège Boréal,03. Graduation rate,2020–21,25%,"$676,958.00"
Collège Boréal,04. Community and local impact of student enrolment,2020–21,15%,"$406,175.00"
Collège Boréal,05. Economic impact (institution-specific),2020–21,15%,"$406,175.00"
Collège Boréal,06. Graduate employment earnings,2020–21,,
Collège Boréal,07. Experiential learning,2020–21,,
Collège Boréal,08. Revenue attracted from private sector sources,2020–21,,
Collège Boréal,09. Apprenticeship-related (institution-specific),2020–21,,
Collège Boréal,10. Skills and competencies,2020–21,,
Collège Boréal,01. Graduate employment rate in a related field,2021-22,5%,"$186,381.00"
Collège Boréal,02. Institutiol strength and focus,2021-22,25%,"$931,907.00"
Collège Boréal,03. Graduation rate,2021-22,20%,"$745,525.00"
Collège Boréal,04. Community and local impact of student enrolment,2021-22,5%,"$186,381.00"
Collège Boréal,05. Economic impact (institution-specific),2021-22,5%,"$186,381.00"
Collège Boréal,06. Graduate employment earnings,2021-22,5%,"$186,381.00"
Collège Boréal,07. Experiential learning,2021-22,30%,"$1,118,288.00"
Collège Boréal,08. Revenue attracted from private sector sources,2021-22,5%,"$186,381.00"
Collège Boréal,09. Apprenticeship-related (institution-specific),2021-22,,
Collège Boréal,10. Skills and competencies,2021-22,,
Collège Boréal,01. Graduate employment rate in a related field,2022-23,5%,"$237,371.00"
Collège Boréal,02. Institutiol strength and focus,2022-23,25%,"$1,186,855.00"
Collège Boréal,03. Graduation rate,2022-23,15%,"$712,113.00"
Collège Boréal,04. Community and local impact of student enrolment,2022-23,5%,"$237,371.00"
Collège Boréal,05. Economic impact (institution-specific),2022-23,5%,"$237,371.00"
Collège Boréal,06. Graduate employment earnings,2022-23,5%,"$237,371.00"
Collège Boréal,07. Experiential learning,2022-23,25%,"$1,186,855.00"
Collège Boréal,08. Revenue attracted from private sector sources,2022-23,5%,"$237,371.00"
Collège Boréal,09. Apprenticeship-related (institution-specific),2022-23,5%,"$237,371.00"
Collège Boréal,10. Skills and competencies,2022-23,5%,"$237,371.00"
Collège Boréal,01. Graduate employment rate in a related field,2023-24,5%,"$288,361.00"
Collège Boréal,02. Institutiol strength and focus,2023-24,25%,"$1,441,804.00"
Collège Boréal,03. Graduation rate,2023-24,15%,"$865,082.00"
Collège Boréal,04. Community and local impact of student enrolment,2023-24,5%,"$288,361.00"
Collège Boréal,05. Economic impact (institution-specific),2023-24,5%,"$288,361.00"
Collège Boréal,06. Graduate employment earnings,2023-24,5%,"$288,361.00"
Collège Boréal,07. Experiential learning,2023-24,25%,"$1,441,804.00"
Collège Boréal,08. Revenue attracted from private sector sources,2023-24,5%,"$288,361.00"
Collège Boréal,09. Apprenticeship-related (institution-specific),2023-24,5%,"$288,361.00"
Collège Boréal,10. Skills and competencies,2023-24,5%,"$288,361.00"
Collège Boréal,01. Graduate employment rate in a related field,2024-25,5%,"$313,856.00"
Collège Boréal,02. Institutiol strength and focus,2024-25,25%,"$1,569,278.00"
Collège Boréal,03. Graduation rate,2024-25,15%,"$941,567.00"
Collège Boréal,04. Community and local impact of student enrolment,2024-25,5%,"$313,856.00"
Collège Boréal,05. Economic impact (institution-specific),2024-25,5%,"$313,856.00"
Collège Boréal,06. Graduate employment earnings,2024-25,5%,"$313,856.00"
Collège Boréal,07. Experiential learning,2024-25,25%,"$1,569,278.00"
Collège Boréal,08. Revenue attracted from private sector sources,2024-25,5%,"$313,856.00"
Collège Boréal,09. Apprenticeship-related (institution-specific),2024-25,5%,"$313,856.00"
Collège Boréal,10. Skills and competencies,2024-25,5%,"$313,856.00"
Conestoga College,01. Graduate employment rate in a related field,2020–21,10%,"$1,402,904.00"
Conestoga College,02. Institutiol strength and focus,2020–21,25%,"$3,507,260.00"
Conestoga College,03. Graduation rate,2020–21,10%,"$1,402,904.00"
Conestoga College,04. Community and local impact of student enrolment,2020–21,30%,"$4,208,712.00"
Conestoga College,05. Economic impact (institution-specific),2020–21,25%,"$3,507,260.00"
Conestoga College,06. Graduate employment earnings,2020–21,,
Conestoga College,07. Experiential learning,2020–21,,
Conestoga College,08. Revenue attracted from private sector sources,2020–21,,
Conestoga College,09. Apprenticeship-related (institution-specific),2020–21,,
Conestoga College,10. Skills and competencies,2020–21,,
Conestoga College,01. Graduate employment rate in a related field,2021-22,5%,"$982,033.00"
Conestoga College,02. Institutiol strength and focus,2021-22,20%,"$3,928,131.00"
Conestoga College,03. Graduation rate,2021-22,10%,"$1,964,066.00"
Conestoga College,04. Community and local impact of student enrolment,2021-22,25%,"$4,910,164.00"
Conestoga College,05. Economic impact (institution-specific),2021-22,20%,"$3,928,131.00"
Conestoga College,06. Graduate employment earnings,2021-22,5%,"$982,033.00"
Conestoga College,07. Experiential learning,2021-22,5%,"$982,033.00"
Conestoga College,08. Revenue attracted from private sector sources,2021-22,10%,"$1,964,066.00"
Conestoga College,09. Apprenticeship-related (institution-specific),2021-22,,
Conestoga College,10. Skills and competencies,2021-22,,
Conestoga College,01. Graduate employment rate in a related field,2022-23,5%,"$1,262,614.00"
Conestoga College,02. Institutiol strength and focus,2022-23,15%,"$3,787,841.00"
Conestoga College,03. Graduation rate,2022-23,10%,"$2,525,227.00"
Conestoga College,04. Community and local impact of student enrolment,2022-23,25%,"$6,313,068.00"
Conestoga College,05. Economic impact (institution-specific),2022-23,15%,"$3,787,841.00"
Conestoga College,06. Graduate employment earnings,2022-23,5%,"$1,262,614.00"
Conestoga College,07. Experiential learning,2022-23,5%,"$1,262,614.00"
Conestoga College,08. Revenue attracted from private sector sources,2022-23,5%,"$1,262,614.00"
Conestoga College,09. Apprenticeship-related (institution-specific),2022-23,10%,"$2,525,227.00"
Conestoga College,10. Skills and competencies,2022-23,5%,"$1,262,614.00"
Conestoga College,01. Graduate employment rate in a related field,2023-24,5%,"$1,543,194.00"
Conestoga College,02. Institutiol strength and focus,2023-24,15%,"$4,629,583.00"
Conestoga College,03. Graduation rate,2023-24,10%,"$3,086,389.00"
Conestoga College,04. Community and local impact of student enrolment,2023-24,25%,"$7,715,972.00"
Conestoga College,05. Economic impact (institution-specific),2023-24,15%,"$4,629,583.00"
Conestoga College,06. Graduate employment earnings,2023-24,5%,"$1,543,194.00"
Conestoga College,07. Experiential learning,2023-24,5%,"$1,543,194.00"
Conestoga College,08. Revenue attracted from private sector sources,2023-24,5%,"$1,543,194.00"
Conestoga College,09. Apprenticeship-related (institution-specific),2023-24,10%,"$3,086,389.00"
Conestoga College,10. Skills and competencies,2023-24,5%,"$1,543,194.00"
Conestoga College,01. Graduate employment rate in a related field,2024-25,5%,"$1,683,485.00"
Conestoga College,02. Institutiol strength and focus,2024-25,15%,"$5,050,455.00"
Conestoga College,03. Graduation rate,2024-25,10%,"$3,366,970.00"
Conestoga College,04. Community and local impact of student enrolment,2024-25,25%,"$8,417,425.00"
Conestoga College,05. Economic impact (institution-specific),2024-25,15%,"$5,050,455.00"
Conestoga College,06. Graduate employment earnings,2024-25,5%,"$1,683,485.00"
Conestoga College,07. Experiential learning,2024-25,5%,"$1,683,485.00"
Conestoga College,08. Revenue attracted from private sector sources,2024-25,5%,"$1,683,485.00"
Conestoga College,09. Apprenticeship-related (institution-specific),2024-25,10%,"$3,366,970.00"
Conestoga College,10. Skills and competencies,2024-25,5%,"$1,683,485.00"
