College,Metric,Year,Percent,Funding Allocation
Confederation College,01. Graduate employment rate in a related field,2020–21,10%,"$610,306.00"
Confederation College,02. Institutiol strength and focus,2020–21,25%,"$1,525,764.00"
Confederation College,03. Graduation rate,2020–21,15%,"$915,459.00"
Confederation College,04. Community and local impact of student enrolment,2020–21,20%,"$1,220,611.00"
Confederation College,05. Economic impact (institution-specific),2020–21,30%,"$1,830,917.00"
Confederation College,06. Graduate employment earnings,2020–21,,
Confederation College,07. Experiential learning,2020–21,,
Confederation College,08. Revenue attracted from private sector sources,2020–21,,
Confederation College,09. Apprenticeship-related (institution-specific),2020–21,,
Confederation College,10. Skills and competencies,2020–21,,
Confederation College,01. Graduate employment rate in a related field,2021-22,10%,"$844,935.00"
Confederation College,02. Institutiol strength and focus,2021-22,18%,"$1,520,883.00"
Confederation College,03. Graduation rate,2021-22,13%,"$1,098,415.00"
Confederation College,04. Community and local impact of student enrolment,2021-22,13%,"$1,098,415.00"
Confederation College,05. Economic impact (institution-specific),2021-22,18%,"$1,520,883.00"
Confederation College,06. Graduate employment earnings,2021-22,5%,"$422,467.00"
Confederation College,07. Experiential learning,2021-22,18%,"$1,520,883.00"
Confederation College,08. Revenue attracted from private sector sources,2021-22,5%,"$422,467.00"
Confederation College,09. Apprenticeship-related (institution-specific),2021-22,,
Confederation College,10. Skills and competencies,2021-22,,
Confederation College,01. Graduate employment rate in a related field,2022-23,8%,"$863,651.00"
Confederation College,02. Institutiol strength and focus,2022-23,15%,"$1,619,346.00"
Confederation College,03. Graduation rate,2022-23,10%,"$1,079,564.00"
Confederation College,04. Community and local impact of student enrolment,2022-23,10%,"$1,079,564.00"
Confederation College,05. Economic impact (institution-specific),2022-23,17%,"$1,835,259.00"
Confederation College,06. Graduate employment earnings,2022-23,5%,"$539,782.00"
Confederation College,07. Experiential learning,2022-23,20%,"$2,159,128.00"
Confederation College,08. Revenue attracted from private sector sources,2022-23,5%,"$539,782.00"
Confederation College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$539,782.00"
Confederation College,10. Skills and competencies,2022-23,5%,"$539,782.00"
Confederation College,01. Graduate employment rate in a related field,2023-24,8%,"$1,051,355.00"
Confederation College,02. Institutiol strength and focus,2023-24,15%,"$1,971,290.00"
Confederation College,03. Graduation rate,2023-24,10%,"$1,314,193.00"
Confederation College,04. Community and local impact of student enrolment,2023-24,10%,"$1,314,193.00"
Confederation College,05. Economic impact (institution-specific),2023-24,17%,"$2,234,128.00"
Confederation College,06. Graduate employment earnings,2023-24,5%,"$657,097.00"
Confederation College,07. Experiential learning,2023-24,20%,"$2,628,386.00"
Confederation College,08. Revenue attracted from private sector sources,2023-24,5%,"$657,097.00"
Confederation College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$657,097.00"
Confederation College,10. Skills and competencies,2023-24,5%,"$657,097.00"
Confederation College,01. Graduate employment rate in a related field,2024-25,8%,"$1,145,206.00"
Confederation College,02. Institutiol strength and focus,2024-25,5%,"$715,754.00"
Confederation College,03. Graduation rate,2024-25,10%,"$1,431,508.00"
Confederation College,04. Community and local impact of student enrolment,2024-25,10%,"$1,431,508.00"
Confederation College,05. Economic impact (institution-specific),2024-25,22%,"$3,149,317.00"
Confederation College,06. Graduate employment earnings,2024-25,5%,"$715,754.00"
Confederation College,07. Experiential learning,2024-25,20%,"$2,863,016.00"
Confederation College,08. Revenue attracted from private sector sources,2024-25,5%,"$715,754.00"
Confederation College,09. Apprenticeship-related (institution-specific),2024-25,10%,"$1,431,508.00"
Confederation College,10. Skills and competencies,2024-25,5%,"$715,754.00"
Durham College,01. Graduate employment rate in a related field,2020–21,10%,"$1,667,422.00"
Durham College,02. Institutiol strength and focus,2020–21,35%,"$5,835,978.00"
Durham College,03. Graduation rate,2020–21,10%,"$1,667,422.00"
Durham College,04. Community and local impact of student enrolment,2020–21,35%,"$5,835,978.00"
Durham College,05. Economic impact (institution-specific),2020–21,10%,"$1,667,422.00"
Durham College,06. Graduate employment earnings,2020–21,,
Durham College,07. Experiential learning,2020–21,,
Durham College,08. Revenue attracted from private sector sources,2020–21,,
Durham College,09. Apprenticeship-related (institution-specific),2020–21,,
Durham College,10. Skills and competencies,2020–21,,
Durham College,01. Graduate employment rate in a related field,2021-22,10%,"$2,334,391.00"
Durham College,02. Institutiol strength and focus,2021-22,15%,"$3,501,587.00"
Durham College,03. Graduation rate,2021-22,5%,"$1,167,196.00"
Durham College,04. Community and local impact of student enrolment,2021-22,30%,"$7,003,174.00"
Durham College,05. Economic impact (institution-specific),2021-22,20%,"$4,668,783.00"
Durham College,06. Graduate employment earnings,2021-22,5%,"$1,167,196.00"
Durham College,07. Experiential learning,2021-22,10%,"$2,334,391.00"
Durham College,08. Revenue attracted from private sector sources,2021-22,5%,"$1,167,196.00"
Durham College,09. Apprenticeship-related (institution-specific),2021-22,,
Durham College,10. Skills and competencies,2021-22,,
Durham College,01. Graduate employment rate in a related field,2022-23,5%,"$1,500,680.00"
Durham College,02. Institutiol strength and focus,2022-23,10%,"$3,001,360.00"
Durham College,03. Graduation rate,2022-23,5%,"$1,500,680.00"
Durham College,04. Community and local impact of student enrolment,2022-23,25%,"$7,503,401.00"
Durham College,05. Economic impact (institution-specific),2022-23,20%,"$6,002,721.00"
Durham College,06. Graduate employment earnings,2022-23,5%,"$1,500,680.00"
Durham College,07. Experiential learning,2022-23,10%,"$3,001,360.00"
Durham College,08. Revenue attracted from private sector sources,2022-23,5%,"$1,500,680.00"
Durham College,09. Apprenticeship-related (institution-specific),2022-23,10%,"$3,001,360.00"
Durham College,10. Skills and competencies,2022-23,5%,"$1,500,680.00"
Durham College,01. Graduate employment rate in a related field,2023-24,5%,"$1,834,165.00"
Durham College,02. Institutiol strength and focus,2023-24,10%,"$3,668,329.00"
Durham College,03. Graduation rate,2023-24,5%,"$1,834,165.00"
Durham College,04. Community and local impact of student enrolment,2023-24,25%,"$9,170,823.00"
Durham College,05. Economic impact (institution-specific),2023-24,20%,"$7,336,659.00"
Durham College,06. Graduate employment earnings,2023-24,5%,"$1,834,165.00"
Durham College,07. Experiential learning,2023-24,10%,"$3,668,329.00"
Durham College,08. Revenue attracted from private sector sources,2023-24,5%,"$1,834,165.00"
Durham College,09. Apprenticeship-related (institution-specific),2023-24,10%,"$3,668,329.00"
Durham College,10. Skills and competencies,2023-24,5%,"$1,834,165.00"
Durham College,01. Graduate employment rate in a related field,2024-25,5%,"$2,000,907.00"
Durham College,02. Institutiol strength and focus,2024-25,10%,"$4,001,814.00"
Durham College,03. Graduation rate,2024-25,5%,"$2,000,907.00"
Durham College,04. Community and local impact of student enrolment,2024-25,25%,"$10,004,534.00"
Durham College,05. Economic impact (institution-specific),2024-25,20%,"$8,003,627.00"
Durham College,06. Graduate employment earnings,2024-25,5%,"$2,000,907.00"
Durham College,07. Experiential learning,2024-25,10%,"$4,001,814.00"
Durham College,08. Revenue attracted from private sector sources,2024-25,5%,"$2,000,907.00"
Durham College,09. Apprenticeship-related (institution-specific),2024-25,10%,"$4,001,814.00"
Durham College,10. Skills and competencies,2024-25,5%,"$2,000,907.00"
Fanshawe College,01. Graduate employment rate in a related field,2020–21,10%,"$2,043,405.00"
Fanshawe College,02. Institutiol strength and focus,2020–21,25%,"$5,108,512.00"
Fanshawe College,03. Graduation rate,2020–21,20%,"$4,086,810.00"
Fanshawe College,04. Community and local impact of student enrolment,2020–21,35%,"$7,151,917.00"
Fanshawe College,05. Economic impact (institution-specific),2020–21,10%,"$2,043,405.00"
Fanshawe College,06. Graduate employment earnings,2020–21,,
Fanshawe College,07. Experiential learning,2020–21,,
Fanshawe College,08. Revenue attracted from private sector sources,2020–21,,
Fanshawe College,09. Apprenticeship-related (institution-specific),2020–21,,
Fanshawe College,10. Skills and competencies,2020–21,,
Fanshawe College,01. Graduate employment rate in a related field,2021-22,5%,"$1,430,383.00"
Fanshawe College,02. Institutiol strength and focus,2021-22,10%,"$2,860,767.00"
Fanshawe College,03. Graduation rate,2021-22,10%,"$2,860,767.00"
Fanshawe College,04. Community and local impact of student enrolment,2021-22,30%,"$8,582,301.00"
Fanshawe College,05. Economic impact (institution-specific),2021-22,5%,"$1,430,383.00"
Fanshawe College,06. Graduate employment earnings,2021-22,5%,"$1,430,383.00"
Fanshawe College,07. Experiential learning,2021-22,30%,"$8,582,301.00"
Fanshawe College,08. Revenue attracted from private sector sources,2021-22,5%,"$1,430,383.00"
Fanshawe College,09. Apprenticeship-related (institution-specific),2021-22,,
Fanshawe College,10. Skills and competencies,2021-22,,
Fanshawe College,01. Graduate employment rate in a related field,2022-23,5%,"$1,839,064.00"
Fanshawe College,02. Institutiol strength and focus,2022-23,10%,"$3,678,129.00"
Fanshawe College,03. Graduation rate,2022-23,10%,"$3,678,129.00"
Fanshawe College,04. Community and local impact of student enrolment,2022-23,25%,"$9,195,322.00"
Fanshawe College,05. Economic impact (institution-specific),2022-23,5%,"$1,839,064.00"
Fanshawe College,06. Graduate employment earnings,2022-23,5%,"$1,839,064.00"
Fanshawe College,07. Experiential learning,2022-23,25%,"$9,195,322.00"
Fanshawe College,08. Revenue attracted from private sector sources,2022-23,5%,"$1,839,064.00"
Fanshawe College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$1,839,064.00"
Fanshawe College,10. Skills and competencies,2022-23,5%,"$1,839,064.00"
Fanshawe College,01. Graduate employment rate in a related field,2023-24,5%,"$2,247,745.00"
Fanshawe College,02. Institutiol strength and focus,2023-24,10%,"$4,495,491.00"
Fanshawe College,03. Graduation rate,2023-24,10%,"$4,495,491.00"
Fanshawe College,04. Community and local impact of student enrolment,2023-24,25%,"$11,238,727.00"
Fanshawe College,05. Economic impact (institution-specific),2023-24,5%,"$2,247,745.00"
Fanshawe College,06. Graduate employment earnings,2023-24,5%,"$2,247,745.00"
Fanshawe College,07. Experiential learning,2023-24,25%,"$11,238,727.00"
Fanshawe College,08. Revenue attracted from private sector sources,2023-24,5%,"$2,247,745.00"
Fanshawe College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$2,247,745.00"
Fanshawe College,10. Skills and competencies,2023-24,5%,"$2,247,745.00"
Fanshawe College,01. Graduate employment rate in a related field,2024-25,5%,"$2,452,086.00"
Fanshawe College,02. Institutiol strength and focus,2024-25,10%,"$4,904,172.00"
Fanshawe College,03. Graduation rate,2024-25,10%,"$4,904,172.00"
Fanshawe College,04. Community and local impact of student enrolment,2024-25,25%,"$12,260,430.00"
Fanshawe College,05. Economic impact (institution-specific),2024-25,5%,"$2,452,086.00"
Fanshawe College,06. Graduate employment earnings,2024-25,5%,"$2,452,086.00"
Fanshawe College,07. Experiential learning,2024-25,25%,"$12,260,430.00"
Fanshawe College,08. Revenue attracted from private sector sources,2024-25,5%,"$2,452,086.00"
Fanshawe College,09. Apprenticeship-related (institution-specific),2024-25,5%,"$2,452,086.00"
Fanshawe College,10. Skills and competencies,2024-25,5%,"$2,452,086.00"
George Brown College,01. Graduate employment rate in a related field,2020–21,10%,"$3,220,126.00"
George Brown College,02. Institutiol strength and focus,2020–21,30%,"$9,660,379.00"
George Brown College,03. Graduation rate,2020–21,10%,"$3,220,126.00"
George Brown College,04. Community and local impact of student enrolment,2020–21,20%,"$6,440,253.00"
George Brown College,05. Economic impact (institution-specific),2020–21,30%,"$9,660,379.00"
George Brown College,06. Graduate employment earnings,2020–21,,
George Brown College,07. Experiential learning,2020–21,,
George Brown College,08. Revenue attracted from private sector sources,2020–21,,
George Brown College,09. Apprenticeship-related (institution-specific),2020–21,,
George Brown College,10. Skills and competencies,2020–21,,
George Brown College,01. Graduate employment rate in a related field,2021-22,10%,"$4,532,391.00"
George Brown College,02. Institutiol strength and focus,2021-22,20%,"$9,064,782.00"
George Brown College,03. Graduation rate,2021-22,5%,"$2,266,196.00"
George Brown College,04. Community and local impact of student enrolment,2021-22,20%,"$9,064,782.00"
George Brown College,05. Economic impact (institution-specific),2021-22,20%,"$9,064,782.00"
George Brown College,06. Graduate employment earnings,2021-22,5%,"$2,266,196.00"
George Brown College,07. Experiential learning,2021-22,15%,"$6,798,587.00"
George Brown College,08. Revenue attracted from private sector sources,2021-22,5%,"$2,266,196.00"
George Brown College,09. Apprenticeship-related (institution-specific),2021-22,,
George Brown College,10. Skills and competencies,2021-22,,
George Brown College,01. Graduate employment rate in a related field,2022-23,10%,"$5,844,656.00"
George Brown College,02. Institutiol strength and focus,2022-23,20%,"$11,689,312.00"
George Brown College,03. Graduation rate,2022-23,5%,"$2,922,328.00"
George Brown College,04. Community and local impact of student enrolment,2022-23,20%,"$11,689,312.00"
George Brown College,05. Economic impact (institution-specific),2022-23,15%,"$8,766,984.00"
George Brown College,06. Graduate employment earnings,2022-23,5%,"$2,922,328.00"
George Brown College,07. Experiential learning,2022-23,10%,"$5,844,656.00"
George Brown College,08. Revenue attracted from private sector sources,2022-23,5%,"$2,922,328.00"
George Brown College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$2,922,328.00"
George Brown College,10. Skills and competencies,2022-23,5%,"$2,922,328.00"
George Brown College,01. Graduate employment rate in a related field,2023-24,10%,"$7,156,921.00"
George Brown College,02. Institutiol strength and focus,2023-24,20%,"$14,313,842.00"
George Brown College,03. Graduation rate,2023-24,5%,"$3,578,461.00"
George Brown College,04. Community and local impact of student enrolment,2023-24,20%,"$14,313,842.00"
George Brown College,05. Economic impact (institution-specific),2023-24,15%,"$10,735,382.00"
George Brown College,06. Graduate employment earnings,2023-24,5%,"$3,578,461.00"
George Brown College,07. Experiential learning,2023-24,10%,"$7,156,921.00"
George Brown College,08. Revenue attracted from private sector sources,2023-24,5%,"$3,578,461.00"
George Brown College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$3,578,461.00"
George Brown College,10. Skills and competencies,2023-24,5%,"$3,578,461.00"
George Brown College,01. Graduate employment rate in a related field,2024-25,10%,"$7,813,054.00"
George Brown College,02. Institutiol strength and focus,2024-25,20%,"$15,626,107.00"
George Brown College,03. Graduation rate,2024-25,5%,"$3,906,527.00"
George Brown College,04. Community and local impact of student enrolment,2024-25,20%,"$15,626,107.00"
George Brown College,05. Economic impact (institution-specific),2024-25,15%,"$11,719,580.00"
George Brown College,06. Graduate employment earnings,2024-25,5%,"$3,906,527.00"
George Brown College,07. Experiential learning,2024-25,10%,"$7,813,054.00"
George Brown College,08. Revenue attracted from private sector sources,2024-25,5%,"$3,906,527.00"
George Brown College,09. Apprenticeship-related (institution-specific),2024-25,5%,"$3,906,527.00"
George Brown College,10. Skills and competencies,2024-25,5%,"$3,906,527.00"
Georgian College,01. Graduate employment rate in a related field,2020–21,20%,"$2,732,198.00"
Georgian College,02. Institutiol strength and focus,2020–21,10%,"$1,366,099.00"
Georgian College,03. Graduation rate,2020–21,20%,"$2,732,198.00"
Georgian College,04. Community and local impact of student enrolment,2020–21,25%,"$3,415,248.00"
Georgian College,05. Economic impact (institution-specific),2020–21,25%,"$3,415,248.00"
Georgian College,06. Graduate employment earnings,2020–21,,
Georgian College,07. Experiential learning,2020–21,,
Georgian College,08. Revenue attracted from private sector sources,2020–21,,
Georgian College,09. Apprenticeship-related (institution-specific),2020–21,,
Georgian College,10. Skills and competencies,2020–21,,
Georgian College,01. Graduate employment rate in a related field,2021-22,5%,"$956,269.00"
Georgian College,02. Institutiol strength and focus,2021-22,5%,"$956,269.00"
Georgian College,03. Graduation rate,2021-22,15%,"$2,868,808.00"
Georgian College,04. Community and local impact of student enrolment,2021-22,30%,"$5,737,616.00"
Georgian College,05. Economic impact (institution-specific),2021-22,30%,"$5,737,616.00"
Georgian College,06. Graduate employment earnings,2021-22,5%,"$956,269.00"
Georgian College,07. Experiential learning,2021-22,5%,"$956,269.00"
Georgian College,08. Revenue attracted from private sector sources,2021-22,5%,"$956,269.00"
Georgian College,09. Apprenticeship-related (institution-specific),2021-22,,
Georgian College,10. Skills and competencies,2021-22,,
Georgian College,01. Graduate employment rate in a related field,2022-23,5%,"$1,229,489.00"
Georgian College,02. Institutiol strength and focus,2022-23,5%,"$1,229,489.00"
Georgian College,03. Graduation rate,2022-23,15%,"$3,688,468.00"
Georgian College,04. Community and local impact of student enrolment,2022-23,25%,"$6,147,446.00"
Georgian College,05. Economic impact (institution-specific),2022-23,25%,"$6,147,446.00"
Georgian College,06. Graduate employment earnings,2022-23,5%,"$1,229,489.00"
Georgian College,07. Experiential learning,2022-23,5%,"$1,229,489.00"
Georgian College,08. Revenue attracted from private sector sources,2022-23,5%,"$1,229,489.00"
Georgian College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$1,229,489.00"
Georgian College,10. Skills and competencies,2022-23,5%,"$1,229,489.00"
Georgian College,01. Graduate employment rate in a related field,2023-24,5%,"$1,502,709.00"
Georgian College,02. Institutiol strength and focus,2023-24,5%,"$1,502,709.00"
Georgian College,03. Graduation rate,2023-24,15%,"$4,508,127.00"
Georgian College,04. Community and local impact of student enrolment,2023-24,25%,"$7,513,545.00"
Georgian College,05. Economic impact (institution-specific),2023-24,25%,"$7,513,545.00"
Georgian College,06. Graduate employment earnings,2023-24,5%,"$1,502,709.00"
Georgian College,07. Experiential learning,2023-24,5%,"$1,502,709.00"
Georgian College,08. Revenue attracted from private sector sources,2023-24,5%,"$1,502,709.00"
Georgian College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$1,502,709.00"
Georgian College,10. Skills and competencies,2023-24,5%,"$1,502,709.00"
Georgian College,01. Graduate employment rate in a related field,2024-25,5%,"$1,639,319.00"
Georgian College,02. Institutiol strength and focus,2024-25,5%,"$1,639,319.00"
Georgian College,03. Graduation rate,2024-25,15%,"$4,917,957.00"
Georgian College,04. Community and local impact of student enrolment,2024-25,25%,"$8,196,595.00"
Georgian College,05. Economic impact (institution-specific),2024-25,25%,"$8,196,595.00"
Georgian College,06. Graduate employment earnings,2024-25,5%,"$1,639,319.00"
Georgian College,07. Experiential learning,2024-25,5%,"$1,639,319.00"
Georgian College,08. Revenue attracted from private sector sources,2024-25,5%,"$1,639,319.00"
Georgian College,09. Apprenticeship-related (institution-specific),2024-25,5%,"$1,639,319.00"
Georgian College,10. Skills and competencies,2024-25,5%,"$1,639,319.00"
Humber College,01. Graduate employment rate in a related field,2020–21,10%,"$3,089,369.00"
Humber College,02. Institutiol strength and focus,2020–21,30%,"$9,268,107.00"
Humber College,03. Graduation rate,2020–21,10%,"$3,089,369.00"
Humber College,04. Community and local impact of student enrolment,2020–21,30%,"$9,268,107.00"
Humber College,05. Economic impact (institution-specific),2020–21,20%,"$6,178,738.00"
Humber College,06. Graduate employment earnings,2020–21,,
Humber College,07. Experiential learning,2020–21,,
Humber College,08. Revenue attracted from private sector sources,2020–21,,
Humber College,09. Apprenticeship-related (institution-specific),2020–21,,
Humber College,10. Skills and competencies,2020–21,,
Humber College,01. Graduate employment rate in a related field,2021-22,5%,"$2,162,558.00"
Humber College,02. Institutiol strength and focus,2021-22,10%,"$4,325,116.00"
Humber College,03. Graduation rate,2021-22,5%,"$2,162,558.00"
Humber College,04. Community and local impact of student enrolment,2021-22,25%,"$10,812,791.00"
Humber College,05. Economic impact (institution-specific),2021-22,25%,"$10,812,791.00"
Humber College,06. Graduate employment earnings,2021-22,15%,"$6,487,675.00"
Humber College,07. Experiential learning,2021-22,10%,"$4,325,116.00"
Humber College,08. Revenue attracted from private sector sources,2021-22,5%,"$2,162,558.00"
Humber College,09. Apprenticeship-related (institution-specific),2021-22,,
Humber College,10. Skills and competencies,2021-22,,
Humber College,01. Graduate employment rate in a related field,2022-23,5%,"$2,780,432.00"
Humber College,02. Institutiol strength and focus,2022-23,10%,"$5,560,864.00"
Humber College,03. Graduation rate,2022-23,5%,"$2,780,432.00"
Humber College,04. Community and local impact of student enrolment,2022-23,20%,"$11,121,728.00"
Humber College,05. Economic impact (institution-specific),2022-23,25%,"$13,902,160.00"
Humber College,06. Graduate employment earnings,2022-23,10%,"$5,560,864.00"
Humber College,07. Experiential learning,2022-23,10%,"$5,560,864.00"
Humber College,08. Revenue attracted from private sector sources,2022-23,5%,"$2,780,432.00"
Humber College,09. Apprenticeship-related (institution-specific),2022-23,5%,"$2,780,432.00"
Humber College,10. Skills and competencies,2022-23,5%,"$2,780,432.00"
Humber College,01. Graduate employment rate in a related field,2023-24,5%,"$3,398,306.00"
Humber College,02. Institutiol strength and focus,2023-24,10%,"$6,796,611.00"
Humber College,03. Graduation rate,2023-24,5%,"$3,398,306.00"
Humber College,04. Community and local impact of student enrolment,2023-24,20%,"$13,593,223.00"
Humber College,05. Economic impact (institution-specific),2023-24,25%,"$16,991,529.00"
Humber College,06. Graduate employment earnings,2023-24,10%,"$6,796,611.00"
Humber College,07. Experiential learning,2023-24,10%,"$6,796,611.00"
Humber College,08. Revenue attracted from private sector sources,2023-24,5%,"$3,398,306.00"
Humber College,09. Apprenticeship-related (institution-specific),2023-24,5%,"$3,398,306.00"
Humber College,10. Skills and competencies,2023-24,5%,"$3,398,306.00"
Humber College,01. Graduate employment rate in a related field,2024-25,5%,"$3,707,243.00"
Humber College,02. Institutiol strength and focus,2024-25,10%,"$7,414,485.00"
Humber College,03. Graduation rate,2024-25,5%,"$3,707,243.00"
Humber College,04. Community and local impact of student enrolment,2024-25,20%,"$14,828,970.00"
Humber College,05. Economic impact (institution-specific),2024-25,25%,"$18,536,213.00"
Humber College,06. Graduate employment earnings,2024-25,10%,"$7,414,485.00"
Humber College,07. Experiential learning,2024-25,10%,"$7,414,485.00"
